bd
Unknown Command! (H for help)
B0> bd

MESSAGE: Download initiated press ESC to quit
*B0 B1 0000001DB0 08-06-2023 11:49:13
*B0 B1 003BFB8198 08-06-2023 11:49:37
*B0 B1 0006054AB5 08-06-2023 11:50:26
*B0 B1 0000001DB0 08-06-2023 11:56:09
*B0 B1 0000001DB0 08-06-2023 11:57:09
*B0 B1 0000001DB0 08-06-2023 11:58:09
*B0 B1 0000001DB0 08-06-2023 11:59:09
*B0 B1 0000001DB0 08-06-2023 12:00:09
*B0 B1 0000001DB0 08-06-2023 12:01:09
*B0 B1 003BFB8198 08-06-2023 12:39:52
*B0 B1 0000001DB0 08-06-2023 13:01:49
*B0 B1 0000001DB0 08-06-2023 14:01:50
*B0 B1 0000001DB0 08-06-2023 14:57:16
*B0 B1 0000001DB0 08-06-2023 15:31:53
*B0 B1 0000001DB0 08-06-2023 16:40:12
*B0 B1 0000001DB0 08-06-2023 17:40:12
*B0 B1 0000001DB0 08-06-2023 18:40:12
*B0 B1 0000001DB0 08-06-2023 19:40:12
*B0 B1 0000001DB0 08-06-2023 20:40:13
*B0 B1 0000001DB0 08-06-2023 21:40:13
*B0 B1 0000001DB0 08-06-2023 22:40:13
*B0 B1 0000001DB0 08-06-2023 23:40:14
*B0 B1 0000001DB0 09-06-2023 00:40:14
*B0 B1 0000001DB0 09-06-2023 01:40:14
*B0 B1 0000001DB0 09-06-2023 02:40:14
*B0 B1 0000001DB0 09-06-2023 03:40:15
*B0 B1 0000001DB0 09-06-2023 04:40:15
*B0 B1 0000001DB0 09-06-2023 05:40:15
*B0 B1 0000001DB0 09-06-2023 06:40:16
*B0 B1 003E404E1E 09-06-2023 07:22:57
*B0 B1 0000001DB0 09-06-2023 07:40:16
*B0 B1 0000001DB0 09-06-2023 08:40:16
*B0 B1 0000001DB0 09-06-2023 09:40:17
*B0 B1 003E40498A 09-06-2023 09:45:46
*B0 B1 0000001DB0 09-06-2023 10:40:17
*B0 B1 0000001DB0 09-06-2023 11:40:17
*B0 B1 0000001DB0 09-06-2023 12:40:17
*B0 B1 0000001DB0 09-06-2023 13:40:18
*B0 B1 0000001DB0 09-06-2023 14:40:18
*B0 B1 0000001DB0 09-06-2023 15:40:18
*B0 B1 0000001DB0 09-06-2023 16:40:18
*B0 B1 0000001DB0 09-06-2023 17:40:19
*B0 B1 0000001DB0 09-06-2023 18:40:19
*B0 B1 0000001DB0 09-06-2023 19:40:19
*B0 B1 0000001DB0 09-06-2023 20:40:19
*B0 B1 0000001DB0 09-06-2023 21:40:20
*B0 B1 0000001DB0 09-06-2023 22:40:20
*B0 B1 0000001DB0 09-06-2023 23:40:20
*B0 B1 0000001DB0 10-06-2023 00:40:20
*B0 B1 0000001DB0 10-06-2023 01:40:21
*B0 B1 0000001DB0 10-06-2023 02:40:21
*B0 B1 0000001DB0 10-06-2023 03:40:21
*B0 B1 0000001DB0 10-06-2023 04:40:22
*B0 B1 0000001DB0 10-06-2023 05:40:22
*B0 B1 0000001DB0 10-06-2023 06:40:22
*B0 B1 0077C09DB7 10-06-2023 06:50:02
*B0 B1 0000001DB0 10-06-2023 07:40:23
*B0 B1 0000001DB0 10-06-2023 08:40:23
*B0 B1 003E40409E 10-06-2023 09:09:24
*B0 B1 0000001DB0 10-06-2023 09:40:23
*B0 B1 0000001DB0 10-06-2023 10:40:23
*B0 B1 0000001DB0 10-06-2023 11:40:24
*B0 B1 0000001DB0 10-06-2023 12:40:24
*B0 B1 0000001DB0 10-06-2023 13:40:25
